root,definition,affixes,derivation,answer
kakşet,sohbet,tir,kakşettir,Yes
kerar,sar,st,kerarst,No
görniş,geçmiş,"iniz, e",görnişinize,Yes
yuvat,sanat,"nın, çı",yuvatnınçı,No
tınih,tarih,"çi, miz, e",tınihçimize,Yes
rortış,yanlış,"yla, ı, lar",rortışıylalar,No
disüs,göğüs,"le, si, me, ni",disüslemesini,Yes
minles,herkes,"ki, ler, in, den",minlesinlerdenki,No
çekün,düşün,"e, iyor, m, m, du",çekünemiyordum,Yes
miyiş,geliş,"i, me, tir, ler, il",miyiştirimeleril,No
efve,izle,"nde, dik, ki, ler, ler, i",efvediklerindekiler,Yes
ıfva,anla,"sı, ki, ma, ş, nda, ıl",ıfvaılmasışndaki,No
züre,türe,"miş, lik, in, ler, n, e, me",zürenememişliklerin,Yes
rokım,bakım,"ıl, ı, sız, ın, tır, dığ, laş",rokımsızlaştırındığılı,No
