root,affixes,derivation,answer
sar,sın,sarsın,Yes
sev,ımız,sevımız,No
geçir,"ir, ler",geçirirler,Yes
okul,"unuz, a",okulaunuz,No
güzel,"lik, e, ler",güzelliklere,Yes
güzel,"liğ, ni, i",güzelniliği,No
haket,"ne, i, diğ, me",haketmediğine,Yes
duygu,"yı, ma, dır, lan",duygumadırlanyı,No
derin,"leş, si, me, nde, tir",derinleştirmesinde,Yes
umut,"ı, lan, ma, dığ, ın",umutlanımadığın,No
ol,"uş, a, tur, dık, tan, ma",oluşturamadıktan,Yes
ol,"ma, ma, ız, m, dır, a",olmmamaaızdır,No
türe,"in, miş, me, ler, n, lik, e",türenememişliklerin,Yes
türe,"in, me, n, lik, e, miş, ler",türeememişliklernin,No
