root,definition,affixes,answer
lovın,kadın,la,lovınla
nerün,düşün,ür,nerünür
sötek,gerek,"ir, se",sötekirse
emnen,öğren,"ti, miş",emnenmişti
üdiddi,emekli,"im, liğ, de",üdiddiliğimde
helün,düşün,"le, ler, ce",helüncelerle
akay,uzay,"lı, mış, ız, lar",akaylılarmışız
lovip,garip,"in, ler, e, lik",lovipliklerine
lıtdam,sağlam,"tır, nı, laş, dığ, ı",lıtdamlaştırdığını
dilen,güven,"siz, e, liğ, im, iz",dilensizliğimize
gıglaş,bağdaş,"abil, i, dik, in, ler, tır",gıglaştırabildiklerini
vısit,basit,"leş, tir, ni, diğ, i, il",vısitleştirildiğini
koypu,duygu,"laş, mak, tan, a, sal, tır, ma",koypusallaştıramamaktan
pakol,ol,"ıl, tır, um, sı, ma, suz, laş",pakolumsuzlaştırılması
