language,template,model,task,is_ood,num_shots,num_affixes,accuracy,faithfulness,f1,coherence
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,5,1,0.955,0.955,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,5,2,0.8260869565217391,0.8300395256916996,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,5,3,0.5875,0.5916666666666667,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,5,4,0.4146341463414634,0.424390243902439,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,5,5,0.3,0.31,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,5,6,0.21621621621621623,0.21621621621621623,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,5,7,0.2222222222222222,0.2222222222222222,0,0
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,5,1,0.9228395061728395,0.0,0.91,0.875
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,5,2,0.932806324110672,0.0,0.9104084321475626,0.8656126482213439
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,5,3,0.9557595993322203,0.0,0.9389054232804233,0.7916666666666666
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,5,4,0.9305962854349951,0.0,0.9071893147502903,0.7170731707317073
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,5,5,0.892,0.0,0.8701904761904762,0.61
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,5,6,0.9243243243243243,0.0,0.8498498498498498,0.6216216216216216
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,5,7,1.0,0.0,1.0,1
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,1,1,0.955,0.955,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,1,2,0.766798418972332,0.7707509881422925,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,1,3,0.6541666666666667,0.6708333333333333,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,1,4,0.35609756097560974,0.3804878048780488,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,1,5,0.3,0.31,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,1,6,0.24324324324324326,0.2702702702702703,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,1,7,0.4444444444444444,0.4444444444444444,0,0
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,1,1,0.8858024691358025,0.0,0.8583333333333333,0.82
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,1,2,0.9169960474308301,0.0,0.8906455862977603,0.8379446640316206
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,1,3,0.9707846410684474,0.0,0.9375,0.8541666666666666
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,1,4,0.9393939393939394,0.0,0.8838230739450251,0.7219512195121951
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,1,5,0.902,0.0,0.8403769841269841,0.62
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,1,6,0.9081081081081082,0.0,0.7922029172029172,0.5675675675675675
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,1,7,0.9555555555555556,0.0,0.8765432098765432,0.7777777777777778
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,3,1,0.955,0.955,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,3,2,0.7786561264822134,0.782608695652174,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,3,3,0.5541666666666667,0.5583333333333333,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,3,4,0.4292682926829268,0.43902439024390244,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,3,5,0.29,0.29,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,3,6,0.10810810810810811,0.10810810810810811,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,3,7,0.1111111111111111,0.1111111111111111,0,0
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,3,1,0.9351851851851852,0.0,0.925,0.9
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,3,2,0.9525691699604744,0.0,0.9380764163372859,0.9090909090909091
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,3,3,0.9649415692821369,0.0,0.9424603174603174,0.825
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,3,4,0.9296187683284457,0.0,0.9002613240418118,0.7073170731707317
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,3,5,0.874,0.0,0.8446984126984127,0.57
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,3,6,0.9027027027027027,0.0,0.8249141999141999,0.6216216216216216
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,3,7,1.0,0.0,1.0,1
